,YauTsimMong,TheKimberleyHotel,28/01/2021,10347,YauTsimMong,PioneerCentreVictoriaHarbourRestaurant,04/01/2021,"8069,8442,8827,8847,9118",Unnamed:0,Unnamed:1,Unnamed:2,"7569,7688,7756,7771,8042,8128,8270,8414,8478,8479,8506,8763,8837,9261,9384",KwaiTsing,BlockAMarvelIndustrialBuilding,15/01/2021,"9496,9530,9557",Eastern,GreenwoodTerraceCommercialComplexSinoKitchem,9617,Central&Western,GageStreetRefuseCollectionPoint,16/01/2021,9660,ShekYamShoppingCentreMingHarbourRestaurant,17/01/2021,9733,TsuenWan,NamFungCentre,18/01/2021,"9572,9842,9843",Southern,PuiTakCanossianCollege,19/01/2021,10054,TuenMun,PoLeungKukHongKongTaoistAssociationYuenYuenPrimarySchool,9981,YuenLong,G/FYuenLongStation,20/01/2021,YikHonBuilding,21/01/2021,10237,G/FTower1MagnetPlaceCaféDeCoral,22/01/2021,10213,TaiPo,G/FEightlandGardensEightlandCafe,23/01/2021,10173,Islands,HongKongMarket-YatTung,24/01/2021,10155,ChungSingBenevolentSociety-TinKaPingDayCareCentrefortheElderly,25/01/2021,10238,Phase2FortuneKingswoodChinaLandRestaurant,26/01/2021,10278,TheKimberleyHotel,28/01/2021,10347
1047,,,,,,,,,,,,,,,,,,,,,,,,,,,Sai Kung,TKO Spot,19/01/2021,"10038, 10057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,,,,,,,,,,,,,,,,,,,,,,,,,,,Wan Chai,Hoi Hing Building,19/01/2021,10041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kowloon City,Celestial Place Maxim's MX,19/01/2021,"9685, 9977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern,EAST Hong Kong,19/01/2021,"9698, 9948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern,Technology Plaza,19/01/2021,9727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Prince Edward ~ The Lamma City,19/01/2021,9749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,MTR Yau Ma Tei Station,19/01/2021,9751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wan Chai,127-129 Electric Road,19/01/2021,9756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern,Galaxy Plaza,19/01/2021,9758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Hanyee Building Hello India Restaurant & Bar,19/01/2021,9759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Anchor Street Refuse Collection Point,19/01/2021,9764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,27 Pitt Street 勝利超級魚丸,19/01/2021,"9777, 9778, 9931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Lauren Court,19/01/2021,9777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwun Tong,Kai Tin Shopping Centre Delicious Café,19/01/2021,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kowloon City,Lok Wah Building Whampoa Estate,19/01/2021,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,S.B. Commercial Building,19/01/2021,"9837, 9935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwai Tsing,On Yam Shopping Centre,19/01/2021,9842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sha Tin,New Town Plaza 3 Social Place,19/01/2021,9866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sai Kung,PopCorn Starbucks Coffee,19/01/2021,9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwun Tong,Laguna Plaza Super Super Congee & Noodle,19/01/2021,9889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern,G/F Metropole Building Fulum Palace (North Point),19/01/2021,9949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kowloon City,Mun Ching House Kai Ching Estate,19/01/2021,9950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwai Tsing,Kwai Chung Shopping Centre,19/01/2021,9959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,The Toy House,19/01/2021,9960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wan Chai,C.L.I. Building,19/01/2021,9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wan Chai,Sun Hung Kai Centre,19/01/2021,9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wan Chai,G/F Lucky House,19/01/2021,9976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/01/2021,,Southern,Hong Kong Police College-Peter Moor Building Indoor Range,9989,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Islands,Elegance Court Hillgrove Village,10001,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Tuen Mun,Toi Shan Association Primary School,10017,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Sham Shui Po,Mei Foo Plaza,10027,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Eastern,Aldrich Garden Shopping Centre,10054,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Yau TsimMong,The Mira Hong Kong,10063,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Sha Tin,Shatin Park Phase 1 Dai Viet PHO Vietnamese Restaurant,10106,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Sham Shui Po,Premier Centre,10139,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Wan Chai,Lee Garden One,10177,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Kowloon City,G/F Po Sun Mansion,10207,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Tsuen Wan,Tsuen Wan Centre Phase II Shopping Centre,10341,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Yau TsimMong,Yau Ma Tei Market,"8870, 8881, 9118, 9321, 9323, 9731, 10040",,,,,,,,,,,,,,,,,,,,,,,,,,
1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Yau TsimMong,G/F Kam Wah Building,"9732, 9850",,,,,,,,,,,,,,,,,,,,,,,,,,
1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Yuen Long,12A Sheung Tsuen 恩記茶餐廳,9867,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Yuen Long,642 Kam Tin Road,9867,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Yuen Long,G/F 281 Castle Peak Road,9867,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Yuen Long,Hop Yick Plaza,9894,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Kwai Tsing,Kwai Fong Terrace Dragon Place Restaurant,9908,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Yau TsimMong,T.A.L. Building,9924,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Sha Tin,Freshall (Sha Kok Market),9942,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Wong Tai Sin,Lung Cheung Office Block,9950,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Yau TsimMong,Metro Harbour View Plaza Café 100%,9955,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Central &Western,93 Catchick Street Mama Malouf,9961,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2021,,Tsuen Wan,Tsuen Wan Plaza Wai Wai Wai,9972,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9983,Yau TsimMong,Mira Place 2 Don Don Donki,20/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,Central &Western,Alexandra House,20/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001,Islands,D'Deck Island Café,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001,Islands,Discovery Bay North Plaza,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10003, 10199",Central &Western,Dotcom House,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001,Islands,Headland Village,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001,Islands,The Hemex Discovery Bay,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10033,Yuen Long,Caltex - Tong Yan San Tsuen,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10049,Kwai Tsing,Cheung Fat Plaza,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10040,Yau TsimMong,Pak Shing Building McDonald's,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10040,Yau TsimMong,Royal Commercial Centre Tamjai Yunnan Mixian,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10056,Yau TsimMong,10 Hau Fook Street TEKKA,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10057,Kwun Tong,King Palace Plaza,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10064,Central &Western,Cosco Tower,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10064,Central &Western,Infinitus Plaza Mixian Sense,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10092,Yau TsimMong,G/F 49 Battery Street,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10106,Sha Tin,Garden Rivera Jiufen Shifen,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10128,Wong Tai Sin,G/F Po Fat Building,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10139,Sham Shui Po,Tower 2 Cheung Sha Wan Plaza McDonald's,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10137,Tsuen Wan,Tsuen Wan Plaza,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10142,Eastern,Block B Sea View Estate,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10142,Kwun Tong,Millennium City 5,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10155,Islands,Fu Tung Plaza MOS Burger,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10174,Wong Tai Sin,AIA Financial Centre,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,Kwun Tong,AXA Tower,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10210,Kowloon City,G/F 9 Mintai Street Old Time Flavor,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10237,Eastern,Harbour North Phase 2,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,
1125,,,,,,,,,,,,,,,,,Central &Western,,,,,,,,,,,,,,,,,,,,,,,,Workington Tower,21/01/2021,10264,,,,,,,,,,,,,,,,,,,,
1126,,,,,,,,,,,,,,,,,Kowloon City,,,,,,,,,,,,,,,,,,,,,,,,Whampoa Garden Bauhinia Manisions Block 8,21/01/2021,10289,,,,,,,,,,,,,,,,,,,,
1127,,,,,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,,,,,,,,,,,,,,Kwun Chung Municipal Services Building,21/01/2021,"9130, 9174, 10066",,,,,,,,,,,,,,,,,,,,
1128,,,,,,,,,,,,,,,,,Sha Tin,,,,,,,,,,,,,,,,,,,,,,,,Free Methodist Mei Lam Primary School,21/01/2021,9963,,,,,,,,,,,,,,,,,,,,
1129,,,,,,,,,,,,,,,,,Sham Shui Po,,,,,,,,,,,,,,,,,,,,,,,,Maxim's Centre,21/01/2021,9967,,,,,,,,,,,,,,,,,,,,
1130,,,,,,,,,,,,,,,,,Sham Shui Po,,,,,,,,,,,,,,,,,,,,,,,,Cheung Sha Wan Government Offices,21/01/2021,9968,,,,,,,,,,,,,,,,,,,,
1131,,,,,,,,,,,,,,,,,Wan Chai,,,,,,,,,,,,,,,,,,,,,,,,83 Wan Chai Road,21/01/2021,9975,,,,,,,,,,,,,,,,,,,,
1132,,,,,,,,,,,,,,,,,Kowloon City,,,,,,,,,,,,,,,,,,,,,,,,Chi Chun Lau Chun Seen Mei Chuen McDonald's,21/01/2021,9977,,,,,,,,,,,,,,,,,,,,
1133,,,,,,,,,,,,,,,,,Yuen Long,,,,,,,,,,,,,,,,,,,,,,,,Tower 2 Harbour Plaza Resort City YatYat Place,21/01/2021,9978,,,,,,,,,,,,,,,,,,,,
1134,,,,,,,,,,,,,,,,,Central &Western,,,,,,,,,,,,,,,,,,,,,,,,Admiralty Centre Tower 1,21/01/2021,9983,,,,,,,,,,,,,,,,,,,,
1135,,,,,,,,,,,,,,,,,Eastern,,,,,,,,,,,,,,,,,,,,,,,,Atelier,22/01/2021,10003,,,,,,,,,,,,,,,,,,,,
1136,,,,,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,,,,,,,,,,,,,,68 Kimberley Road,22/01/2021,10056,,,,,,,,,,,,,,,,,,,,
1137,,,,,,,,,,,,,,,,,Sai Kung,,,,,,,,,,,,,,,,,,,,,,,,G/F Nan Fung Plaza,22/01/2021,10057,,,,,,,,,,,,,,,,,,,,
1138,,,,,,,,,,,,,,,,,Kwun Tong,,,,,,,,,,,,,,,,,,,,,,,,Kwun Tong Plaza,22/01/2021,10058,,,,,,,,,,,,,,,,,,,,
1139,,,,,,,,,,,,,,,,,Kwun Tong,,,,,,,,,,,,,,,,,,,,,,,,Skyline Tower,22/01/2021,"10055, 10349",,,,,,,,,,,,,,,,,,,,
1140,,,,,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,,,,,,,,,,,,,,G/F Charming Garden,22/01/2021,10064,,,,,,,,,,,,,,,,,,,,
1141,,,,,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,,,,,,,,,,,,,,Hoi Fu Shopping Centre Tamjai Yunnan Mixian,22/01/2021,10064,,,,,,,,,,,,,,,,,,,,
1142,,,,,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,,,,,,,,,,,,,,G/F Liberty Mansion,22/01/2021,"10091, 10098",,,,,,,,,,,,,,,,,,,,
1143,,,,,,,,,,,,,,,,,Wong Tai Sin,,,,,,,,,,,,,,,,,,,,,,,,Fung Tak Shopping Centre 榮基牛雜 粉麵,22/01/2021,10128,,,,,,,,,,,,,,,,,,,,
1144,,,,,,,,,,,,,,,,,Kwun Tong,,,,,,,,,,,,,,,,,,,,,,,,8 Clear Water Bay Road Infinity Eight,22/01/2021,10133,,,,,,,,,,,,,,,,,,,,
1145,,,,,,,,,,,,,,,,,Eastern,,,,,,,,,,,,,,,,,,,,,,,,Cityplaza One,22/01/2021,10137,,,,,,,,,,,,,,,,,,,,
1146,,,,,,,,,,,,,,,,,Sha Tin,,,,,,,,,,,,,,,,,,,,,,,,Yu Chui Shopping Centre,22/01/2021,10139,,,,,,,,,,,,,,,,,,,,
1147,,,,,,,,,,,,,,,,,Yuen Long,,,,,,,,,,,,,,,,,,,,,,,,"Block C, Manhattan Plaza",22/01/2021,10153,,,,,,,,,,,,,,,,,,,,
1148,,,,,,,,,,,,,,,,,Islands,,,,,,,,,,,,,,,,,,,,,,,,28 Siena Two,22/01/2021,10204,,,,,,,,,,,,,,,,,,,,
1149,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hankow Centre,22/01/2021,10216,,,,,,,,,,,,,,,,,
1150,,,,,,,,,,,,,Tsuen Wan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOLOUR . Tsuen Wan I,22/01/2021,10213,,,,,,,,,,,,,,,,,
1151,,,,,,,,,,,,,Kwai Tsing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On Fook Industrial Building,22/01/2021,10213,,,,,,,,,,,,,,,,,
1152,,,,,,,,,,,,,Central &Western,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pacific Place,22/01/2021,10215,,,,,,,,,,,,,,,,,
1153,,,,,,,,,,,,,Sham Shui Po,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delia Memorial School, Mei Foo Sun Chuen",22/01/2021,10235,,,,,,,,,,,,,,,,,
1154,,,,,,,,,,,,,Central &Western,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wellington Place Espuma,22/01/2021,10263,,,,,,,,,,,,,,,,,
1155,,,,,,,,,,,,,Kwun Tong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rykadan Capital Tower,22/01/2021,10277,,,,,,,,,,,,,,,,,
1156,,,,,,,,,,,,,Tsuen Wan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 Chung On Street Fu Doo Restaurant,22/01/2021,10341,,,,,,,,,,,,,,,,,
1157,,,,,,,,,,,,,Yuen Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tin Yan Shopping Centre,22/01/2021,"9385, 10217",,,,,,,,,,,,,,,,,
1158,,,,,,,,,,,,,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fu Tung Plaza,22/01/2021,"9485, 10155",,,,,,,,,,,,,,,,,
1159,,,,,,,,,,,,,Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yiu Tung Shopping Centre,22/01/2021,"9497, 10129",,,,,,,,,,,,,,,,,
1160,,,,,,,,,,,,,Wan Chai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue Tower,22/01/2021,9973,,,,,,,,,,,,,,,,,
1161,,,,,,,,,,,,,Kwai Tsing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapletree Logistics Hub Tsing Yi,22/01/2021,9997,,,,,,,,,,,,,,,,,
1162,,,,,,,,,,,,,Kwai Tsing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheung Hong Estate Dragon Gate,23/01/2021,10042,,,,,,,,,,,,,,,,,
1163,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olympian City 2 Law Mark Kee,23/01/2021,10064,,,,,,,,,,,,,,,,,
1164,,,,,,,,,,,,,Kwai Tsing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hang King Shopping Arcade,23/01/2021,10070,,,,,,,,,,,,,,,,,
1165,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-15 Man Wai Street Man Lee Restaurant,23/01/2021,10081,,,,,,,,,,,,,,,,,
1166,,,,,,,,,,,,,Tsuen Wan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G/F Hing Hing Building,23/01/2021,"10083, 10189",,,,,,,,,,,,,,,,,
1167,,,,,,,,,,,,,Sha Tin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yu Chui Court Market 茶記一加一,23/01/2021,10139,,,,,,,,,,,,,,,,,
1168,,,,,,,,,,,,,Kwun Tong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legend Tower,23/01/2021,10142,,,,,,,,,,,,,,,,,
1169,,,,,,,,,,,,,Yuen Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Lodge,23/01/2021,10153,,,,,,,,,,,,,,,,,
1170,,,,,,,,,,,,,Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropole Café de Coral,23/01/2021,10150,,,,,,,,,,,,,,,,,
1171,,,,,,,,,,,,,Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smiling Shau Kei Wan Plaza,23/01/2021,"10157, 10276",,,,,,,,,,,,,,,,,
1172,,,,,,,,,,,,,Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yat Tung Shopping Centre Café de Coral,23/01/2021,10156,,,,,,,,,,,,,,,,,
1173,,,,,,,,,,,,,Wan Chai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Tai Yuen Street Tam Chai Yunnan Noodles,23/01/2021,10173,,,,,,,,,,,,,,,,,
1174,,,,,,,,,,,,,Sha Tin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chik Fu Street Kwan Kee,23/01/2021,10173,,,,,,,,,,,,,,,,,
1175,,,,,,,,,,,,,Wan Chai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G/F Causeway Bay Commercial Building Tsui Wah Restaurant,23/01/2021,10174,,,,,,,,,,,,,,,,,
1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kowloon City,G/F United Building 永明粥店,23/01/2021,"10170, 10192, 10193, 10194, 10219, 10295",,,,,,,,,,,,,
1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuen Mun,G/F K-Point,23/01/2021,10217,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sham Shui Po,D2 Place,23/01/2021,10222,,,,,,,,,,,,,
1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sham Shui Po,Elite Industrial Centre Cheng Banzhang Taiwan Delicacy,23/01/2021,10222,,,,,,,,,,,,,
1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,JD Mall,23/01/2021,10220,,,,,,,,,,,,,
1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sai Kung,Tower 6 Tseung Kwan O Plaza,23/01/2021,10223,,,,,,,,,,,,,
1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuen Long,Yoho Mall I Pizza Express,23/01/2021,10225,,,,,,,,,,,,,
1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wan Chai,Chong Hing Building Joy Hing Roasted Meat,23/01/2021,10231,,,,,,,,,,,,,
1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern,G/F 136-144 Java Road,23/01/2021,10237,,,,,,,,,,,,,
1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwun Tong,Kinox Centre,23/01/2021,10261,,,,,,,,,,,,,
1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwun Tong,Po Chui House Po Pui Court,23/01/2021,10268,,,,,,,,,,,,,
1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern,G/F Bo Fung Gardens,23/01/2021,10276,,,,,,,,,,,,,
